country,interest,extracted_at
Albania,2,2026-02-02 15:17:04.957781
Andorra,4,2026-02-02 15:17:04.957781
Angola,1,2026-02-02 15:17:04.957781
Antigua & Barbuda,6,2026-02-02 15:17:04.957781
Argentina,8,2026-02-02 15:17:04.957781
Armenia,1,2026-02-02 15:17:04.957781
Aruba,11,2026-02-02 15:17:04.957781
Australia,1,2026-02-02 15:17:04.957781
Austria,2,2026-02-02 15:17:04.957781
Azerbaijan,1,2026-02-02 15:17:04.957781
Bahamas,10,2026-02-02 15:17:04.957781
Bahrain,1,2026-02-02 15:17:04.957781
Barbados,5,2026-02-02 15:17:04.957781
Belgium,3,2026-02-02 15:17:04.957781
Belize,43,2026-02-02 15:17:04.957781
Benin,1,2026-02-02 15:17:04.957781
Bermuda,13,2026-02-02 15:17:04.957781
Bolivia,3,2026-02-02 15:17:04.957781
Bosnia & Herzegovina,1,2026-02-02 15:17:04.957781
Botswana,1,2026-02-02 15:17:04.957781
Brazil,3,2026-02-02 15:17:04.957781
Bulgaria,1,2026-02-02 15:17:04.957781
Cambodia,1,2026-02-02 15:17:04.957781
Canada,23,2026-02-02 15:17:04.957781
Cape Verde,5,2026-02-02 15:17:04.957781
Cayman Islands,11,2026-02-02 15:17:04.957781
Chile,7,2026-02-02 15:17:04.957781
China,1,2026-02-02 15:17:04.957781
Colombia,6,2026-02-02 15:17:04.957781
Congo - Brazzaville,1,2026-02-02 15:17:04.957781
Costa Rica,14,2026-02-02 15:17:04.957781
Croatia,1,2026-02-02 15:17:04.957781
Cuba,13,2026-02-02 15:17:04.957781
Curaçao,9,2026-02-02 15:17:04.957781
Cyprus,1,2026-02-02 15:17:04.957781
Czechia,1,2026-02-02 15:17:04.957781
Côte d’Ivoire,1,2026-02-02 15:17:04.957781
Denmark,1,2026-02-02 15:17:04.957781
Dominican Republic,4,2026-02-02 15:17:04.957781
Ecuador,3,2026-02-02 15:17:04.957781
Egypt,1,2026-02-02 15:17:04.957781
El Salvador,5,2026-02-02 15:17:04.957781
Estonia,1,2026-02-02 15:17:04.957781
Eswatini,2,2026-02-02 15:17:04.957781
Ethiopia,1,2026-02-02 15:17:04.957781
Faroe Islands,2,2026-02-02 15:17:04.957781
Fiji,2,2026-02-02 15:17:04.957781
Finland,1,2026-02-02 15:17:04.957781
France,2,2026-02-02 15:17:04.957781
French Polynesia,2,2026-02-02 15:17:04.957781
Gabon,1,2026-02-02 15:17:04.957781
Georgia,1,2026-02-02 15:17:04.957781
Germany,2,2026-02-02 15:17:04.957781
Ghana,1,2026-02-02 15:17:04.957781
Gibraltar,8,2026-02-02 15:17:04.957781
Greece,1,2026-02-02 15:17:04.957781
Grenada,5,2026-02-02 15:17:04.957781
Guadeloupe,2,2026-02-02 15:17:04.957781
Guam,1,2026-02-02 15:17:04.957781
Guatemala,6,2026-02-02 15:17:04.957781
Guernsey,5,2026-02-02 15:17:04.957781
Guinea,1,2026-02-02 15:17:04.957781
Guyana,4,2026-02-02 15:17:04.957781
Haiti,1,2026-02-02 15:17:04.957781
Honduras,4,2026-02-02 15:17:04.957781
Hong Kong,1,2026-02-02 15:17:04.957781
Hungary,1,2026-02-02 15:17:04.957781
Iceland,3,2026-02-02 15:17:04.957781
Iraq,1,2026-02-02 15:17:04.957781
Ireland,5,2026-02-02 15:17:04.957781
Isle of Man,6,2026-02-02 15:17:04.957781
Israel,2,2026-02-02 15:17:04.957781
Italy,2,2026-02-02 15:17:04.957781
Jamaica,5,2026-02-02 15:17:04.957781
Jersey,7,2026-02-02 15:17:04.957781
Jordan,1,2026-02-02 15:17:04.957781
Kenya,1,2026-02-02 15:17:04.957781
Kosovo,2,2026-02-02 15:17:04.957781
Kuwait,1,2026-02-02 15:17:04.957781
Laos,1,2026-02-02 15:17:04.957781
Latvia,1,2026-02-02 15:17:04.957781
Lebanon,1,2026-02-02 15:17:04.957781
Liberia,1,2026-02-02 15:17:04.957781
Liechtenstein,4,2026-02-02 15:17:04.957781
Lithuania,1,2026-02-02 15:17:04.957781
Luxembourg,3,2026-02-02 15:17:04.957781
Madagascar,1,2026-02-02 15:17:04.957781
Malaysia,1,2026-02-02 15:17:04.957781
Maldives,2,2026-02-02 15:17:04.957781
Malta,2,2026-02-02 15:17:04.957781
Martinique,3,2026-02-02 15:17:04.957781
Mauritania,1,2026-02-02 15:17:04.957781
Mauritius,1,2026-02-02 15:17:04.957781
Mexico,100,2026-02-02 15:17:04.957781
Moldova,1,2026-02-02 15:17:04.957781
Mongolia,1,2026-02-02 15:17:04.957781
Montenegro,1,2026-02-02 15:17:04.957781
Morocco,1,2026-02-02 15:17:04.957781
Netherlands,2,2026-02-02 15:17:04.957781
New Zealand,1,2026-02-02 15:17:04.957781
Nicaragua,2,2026-02-02 15:17:04.957781
Nigeria,1,2026-02-02 15:17:04.957781
North Macedonia,1,2026-02-02 15:17:04.957781
Norway,2,2026-02-02 15:17:04.957781
Oman,1,2026-02-02 15:17:04.957781
Palestine,1,2026-02-02 15:17:04.957781
Panama,9,2026-02-02 15:17:04.957781
Paraguay,6,2026-02-02 15:17:04.957781
Peru,3,2026-02-02 15:17:04.957781
Philippines,1,2026-02-02 15:17:04.957781
Poland,1,2026-02-02 15:17:04.957781
Portugal,3,2026-02-02 15:17:04.957781
Puerto Rico,6,2026-02-02 15:17:04.957781
Qatar,1,2026-02-02 15:17:04.957781
Romania,1,2026-02-02 15:17:04.957781
Rwanda,1,2026-02-02 15:17:04.957781
Réunion,1,2026-02-02 15:17:04.957781
Senegal,1,2026-02-02 15:17:04.957781
Serbia,1,2026-02-02 15:17:04.957781
